End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
Nov,1104810.353485,13.13972231,306403.7564498,1411227.24965711,1.067890268379865,7.967217504912259,9.161909585543915,,
Dec,1186503.18239,8.17164225,142225.58315778,1328736.9371900298,1.2478335581267315,8.643598603956375,9.926052963458062,2.52190581451154,2.19023374198981
2024 Jan,1170831.599113,14.10951409,317768.51005561,1488614.2186827,1.079229494293531,7.691440955464926,8.81016917465798,,
Feb,1193662.706447,15.64072859,220040.01165292002,1413718.35882851,1.1506990971211708,8.181951789640706,9.337878056898724,,
Mar,1261899.013464,28.97219,143637.77911064003,1405565.76476464,1.224046423199694,8.350720997369445,9.47989812715603,,
Apr,1267593.333727,30.78787005,158902.02349212,1426526.14508917,1.2175826628669875,8.3211751044006,9.407454046447516,,
May,1249835.007209,32.239375,146333.85538141002,1396201.10196541,1.240961032460453,8.616069923541815,9.752446633830266,,
Jun,1258443.625778,35.934322,159184.40442864998,1417663.96452865,1.2474070167128537,8.550323679226901,9.697591031729953,,
Jul,1279190.943841,46.2072678,175862.43442801002,1455099.5855368103,1.2154518665380232,8.379643689560355,9.500776564582301,,
Aug,1303456.2053,25.985419,182198.77368188,1485680.96440088,1.2119546102423855,8.231001438382673,9.340348826830022,,
Sep,1330955.485432,36.37432306,192635.10122394,1523626.960979,1.1875893808071039,8.077008525071431,9.155725580134243,,
Oct,1308708.585533,26.81029772,165858.376011,1474593.77184172,1.2218122637393851,8.385322783840673,9.499995221244754,,
Nov,1312211.211596,25.15999377,185768.00127051002,1498004.37286028,1.2014915572777451,8.302068843276155,9.40380807169942,,
Dec (c) ,1358722.882409,25.47561549,180589.89961119,1539338.25763568,1.2509033534676297,8.22467932821683,9.303803722271098,,
